"","other","neuron"
"1110017D15Rik",0.662272918715112,3.82328399334816
"1500009L16Rik",0.466751558942883,3.80066215805538
"1600029O15Rik",0.295873402123997,3.34157000049332
"1700016P03Rik",1.45767783873556,7.3084879160942
"2210008F06Rik",0.720876108881707,4.08109877862207
"2610035F20Rik",0.623994004034483,4.9319484589319
"2900055J20Rik",0.882046676743014,4.77807063488343
"3300002P13Rik",0.779959961226165,4.69138912694537
"4732496C06Rik",2.08287704260916,4.60422200529608
"4833422C13Rik",0.703260643189649,3.67803172760368
"4930439D14Rik",0.597455405393952,4.12799039862627
"4930539E08Rik",0.280350102409442,2.6626699639423
"4930572O13Rik",0.0844655544305831,2.64930496543051
"4931428F04Rik",1.7322355905749,6.13975180969111
"5330417C22Rik",0.170282900722638,5.27032788762576
"5330434G04Rik",0.338286167533893,3.60343462752421
"6330403K07Rik",3.34428302309072,10.7837720663116
"6330403L08Rik",2.17975657546252,5.36090156342796
"9330121K16Rik",0.551675372040963,3.65626393846861
"9330161L09Rik",1.70807738281103,3.8575266560887
"A230057D06Rik",0.424906117370061,3.50762818534905
"A330076H08Rik",0.639885653636896,4.56123446255434
"A730020E08Rik",0.51860586748976,3.30489848949443
"A830082N09Rik",1.07553726025487,5.08293085516316
"AC117202.2",0.131935291300911,3.31314992748494
"AC122291.1",1.00210783288506,3.55773152215126
"AC125351.1",1.87798493085439,7.30362226003674
"AC154766.1",0.716796550522331,3.96779419007576
"AC157931.1",0.155652047792826,5.41005104249296
"AC162863.1",0.36722783743652,5.08218335132641
"AI593442",1.61769753224298,7.01096381816263
"AI606473",0.0371157065934732,3.48123927422064
"AU022754",0.401157039339493,3.27568204890087
"AW551984",0.494008805381756,5.46211347691998
"Abca5",0.805157219873603,3.91410068961528
"Abcc8",0.0861202874315804,2.71026652357642
"Ablim3",0.212032526132567,3.78004037053898
"Ache",2.70611136768883,9.02234144946551
"Ackr1",2.038540559918,6.84705381790447
"Acr",0.477010222902394,4.13787108201246
"Actl6b",0.712626184541153,6.12369490113509
"Adamts15",0.351999573394077,4.02318680437469
"Adarb1",1.03462072687517,3.46163464893147
"Adarb2",0.206690831307478,3.05647721772866
"Adcy1",0.856407405893476,5.48146247822804
"Adcyap1",0.279348394516468,4.07630760565488
"Add2",0.64383327622863,4.52498937650578
"Adgra1",0.591124280189939,4.06357280873028
"Adra2c",0.51044510527301,4.1949219263353
"Ahi1",1.15847844526671,4.82693447480645
"Ajap1",0.147064008848502,2.88738388157354
"Aldh1b1",2.66352547584849,5.08709592550295
"Alkal2",0.368405078837712,2.59666876272916
"Amer3",0.24619961280756,4.27713475928178
"Amigo1",3.22879468800024,6.75369714759126
"Amy1",0.455605116141093,3.98785539376667
"Ankrd34a",0.989870263182758,5.32714209975443
"Ankrd34b",0.393720511338365,3.08245589807033
"Ankrd35",0.48245565712776,4.33520602794903
"Ankrd45",0.488963767668734,3.79172350850221
"Ap1s2",4.69882315876429,6.83584609545655
"Ap3b2",1.33762675977987,6.05008010873112
"Arfgef3",0.318027626327845,3.97807232903962
"Arhgap44",0.507442461786157,3.68920760878009
"Arhgdig",1.11702750641216,5.718191156774
"Arl13b",1.96596013108515,4.39242355705514
"Armcx1",2.3478832447169,7.75493900926386
"Arx",0.777380058472623,6.6749729375367
"Asgr1",0.20425324763544,2.78404556987168
"Atl1",0.949396051625114,4.37074420964232
"Atp1a3",3.85113828664523,9.3425425434755
"Atp2b3",0.406569839966245,3.48262514572976
"Atp6ap1l",0.306190395815509,3.56904976590736
"Atp6v1g2",3.11933906722386,7.83427738669048
"Azin2",0.931843253329794,3.91725957647394
"B230208B08Rik",0.161861924302671,2.8553663854206
"B230334C09Rik",1.16796379005671,5.40802606008017
"B3galnt1",1.96885349160289,4.38976193036498
"B3galt1",0.301893975887329,2.90221706964917
"B4galnt4",1.24757760976813,7.15499637247123
"B4galt6",2.11884928578589,4.93022342149522
"B630019K06Rik",2.99711519627705,8.3163380832497
"BC024139",0.30278858778003,3.36728498531394
"BC030343",0.584491802657742,3.52661999720294
"BC030500",0.384286638112227,4.77509876485989
"Baiap3",0.493273554571942,4.14817236640827
"Barhl2",0.0801444406647303,4.82181313960326
"Basp1",2.48182875328081,7.46515409922601
"Bcl11a",0.56956783058511,3.7903385073238
"Begain",0.808200608159026,4.60346396020302
"Bend4",1.18401783817349,3.79005708504735
"Bend6",1.27557720865591,4.14066592109602
"Bex1",2.06537450913894,8.37030407898667
"Bex2",3.0838238409757,10.3783640588363
"Bex4",1.82047870513561,7.94006678963891
"Bhlhe22",0.942880098705649,8.00014741459531
"Bicdl1",0.709795845393147,3.66069704703968
"Bsn",0.857985123670865,5.08352803255574
"Btbd8",0.813989240879099,3.52005600300563
"C1qtnf4",1.78958746977659,7.10872854733794
"C230004F18Rik",0.368416151924738,4.3530955628257
"C78859",0.415162899859248,3.82435344253117
"Cabp7",0.401151853892602,3.47582726275629
"Cabyr",1.39277788915508,3.99784702844797
"Cacna1a",0.511728868070003,3.93335956214118
"Cacna1b",0.30141154986179,4.36479426688839
"Cacna1g",0.680104582184216,4.60754971786962
"Cacna2d1",0.395942139568497,4.40252546825428
"Cacna2d2",0.239792000616899,5.79067342809918
"Cacng2",0.121686225947001,2.48382794472931
"Cacng5",0.604361167323952,5.39468400154543
"Cadm3",1.51132527614958,7.33647698092537
"Cadps",0.37257550823957,3.36566618802098
"Calb1",0.393323239229986,3.54238639256285
"Calb2",0.519450922523071,6.18070444979544
"Calca",0.233102130540385,2.91019123329448
"Calm2",6.88194787962984,9.13387437632487
"Caly",1.08608329346443,6.25740046665578
"Camk1g",0.599219662249096,3.97433103318147
"Camk2b",2.14581429543051,5.56588062845111
"Camkv",1.47103640408104,6.50322771211871
"Camsap3",0.84216485264349,5.0961271736205
"Carmil2",1.11100802727336,3.96743390617165
"Casp3",3.3746379377103,7.07714171542318
"Cbarp",1.92894104944426,7.42972592030367
"Cbln2",0.878990177245737,5.72310021300462
