"","CON","AD","PD","HD","MS"
"A1BG",0.517899605847796,0.50425319708691,0.506096891760755,0.460447000723973,0.53769423611093
"A2M",4.0817571144441,4.15509369969914,4.07764091106062,3.99126187963563,4.16744590163835
"A2M-AS1",1.89658272398384,1.89054289144948,1.90897050705472,1.95270095016182,1.94547927173567
"A2ML1",0.364187230577494,0.421716831249732,0.384630140084543,0.461399258028048,0.250974676774082
"A2MP1",0.483686721904516,0.47589547787406,0.485175721828547,0.518877061627866,0.394153795910136
"A4GALT",0.92893426809668,1.02148378136607,0.935523200931041,0.908042522365712,0.908922319474836
"A4GNT",0.170560429225017,0.137821373113016,0.168764515546806,0.201358574977164,0.0951343876008325
"AAAS",3.18831527557938,3.16267753345185,3.18315451671649,3.19035771999191,3.13945984311261
"AACS",2.38502542010365,2.40772227606329,2.37680524771599,2.35242490526219,2.28543606831112
"AADAT",2.04720606944405,2.09043686730228,2.07631004911614,2.19821329411006,1.93613987352815
"AAED1",1.58271456301146,1.56667230170056,1.57932758736761,1.55942936354711,1.6471161468851
"AAGAB",2.32272350547832,2.37046711591186,2.33192459074207,2.31484783020887,2.42147539291504
"AAK1",2.51483803151793,2.51681719267667,2.51486543118254,2.5052226162423,2.5487237866315
"AAMP",5.83600921237783,5.78122116221803,5.82616878897334,5.81647010877973,5.85193375037232
"AANAT",0.526975025305249,0.56187834933479,0.534430688005841,0.520026141543188,0.619099702048992
"AAR2",1.88745127825588,1.90697468972973,1.89713657651368,1.91402299018155,1.93185776448353
"AARD",0.687404560649886,0.664499576748883,0.681716958855156,0.67665732498831,0.671644344108425
"AARS",5.03738952167494,4.99579078644968,5.02293611537831,5.01166655549149,4.94780724702443
"AASDH",1.59795315620286,1.57701234574845,1.59850057332056,1.59869170455311,1.66083134603141
"AASDHPPT",1.17981995399328,1.215426759106,1.18641799766079,1.1872638558125,1.19470596170749
"AASS",1.30428349852135,1.32060134651868,1.31866289558976,1.3703521182243,1.29667407393947
"AATBC",0.88191631424569,0.915749468736466,0.881195185471044,0.910438969750859,0.664860012036359
"AATF",1.36252999118718,1.3753036361123,1.36230490680858,1.37211043442682,1.28631498634835
"AATK",4.3345732936419,4.40838821039893,4.34446200182851,4.40458344303484,4.06829904278337
"AB015752.1",0.117205372720149,0.153622842794181,0.12322713062377,0.129445469030115,0.0988121296831209
"ABAT",1.71703748019051,1.74255509732167,1.72509836517498,1.77110438822685,1.60209045118097
"ABCA1",1.12657924722391,1.15331190431623,1.14080647832389,1.1700514842956,1.1791117973768
"ABCA10",0.929576487558102,0.906865294621637,0.924406766738013,0.911401905320282,0.953793725086338
"ABCA17P",0.764491514737798,0.789989581050222,0.767924825047466,0.760861280485356,0.784130333776348
"ABCA2",7.09974380480954,7.12692680768991,7.10813865753071,7.16534078914554,6.94129299657695
"ABCA3",3.50694388013372,3.53555159932836,3.51157505778877,3.5142380200461,3.49971574580317
"ABCA5",2.27050559677559,2.29881081479506,2.2752933327973,2.26013846414793,2.3379654696871
