GeneHu,Category,File
C4orf19,MicrogliByothers_Zhang_Cuffdiff2FCover20,CellType_GSE52564_FCover20_Signature_Hu
C9orf85,EndotheByothers_Zhang_Cuffdiff2FCover20,CellType_GSE52564_FCover20_Signature_Hu
C20orf144,MicrogliByothers_Zhang_Cuffdiff2FCover20,CellType_GSE52564_FCover20_Signature_Hu
C1orf194,NeuronByothers_Zhang_Cuffdiff2FCover20,CellType_GSE52564_FCover20_Signature_Hu
C15orf39,MicrogliByothers_Zhang_Cuffdiff2FCover20,CellType_GSE52564_FCover20_Signature_Hu
C2orf88,PreOligoByothers_Zhang_Cuffdiff2FCover20,CellType_GSE52564_FCover20_Signature_Hu
C6orf136,NeuronByothers_Zhang_Cuffdiff2FCover20,CellType_GSE52564_FCover20_Signature_Hu
C8orf37,MicrogliByothers_Zhang_Cuffdiff2FCover20,CellType_GSE52564_FCover20_Signature_Hu
C10orf99,MicrogliByothers_Zhang_Cuffdiff2FCover20,CellType_GSE52564_FCover20_Signature_Hu
C7orf50,MicrogliByothers_Zhang_Cuffdiff2FCover20,CellType_GSE52564_FCover20_Signature_Hu
C19orf71,MicrogliByothers_Zhang_Cuffdiff2FCover20,CellType_GSE52564_FCover20_Signature_Hu
C12orf29,MyeOligoByothers_Zhang_Cuffdiff2FCover20,CellType_GSE52564_FCover20_Signature_Hu
KIAA0040,EndotheByothers_Zhang_Cuffdiff2FCover20,CellType_GSE52564_FCover20_Signature_Hu
DIPK2B,EndotheByothers_Zhang_Cuffdiff2FCover20,CellType_GSE52564_FCover20_Signature_Hu
KIAA0355,EndotheByothers_Zhang_Cuffdiff2FCover20,CellType_GSE52564_FCover20_Signature_Hu
KIAA1109,NeuronByothers_Zhang_Cuffdiff2FCover20,CellType_GSE52564_FCover20_Signature_Hu
KIAA1324,NeuronByothers_Zhang_Cuffdiff2FCover20,CellType_GSE52564_FCover20_Signature_Hu
CXorf21,MicrogliByothers_Zhang_Cuffdiff2FCover20,CellType_GSE52564_FCover20_Signature_Hu
