"","PSID","Gene","Module"
"TTR","TTR","TTR","turquoise"
"HBB","HBB","HBB","turquoise"
"RNF17","RNF17","RNF17","blue"
"HSPA1A","HSPA1A","HSPA1A","lightcyan"
"GSTM1","GSTM1","GSTM1","turquoise"
"CRABP1","CRABP1","CRABP1","pink"
"SLC13A4","SLC13A4","SLC13A4","pink"
"S100A8","S100A8","S100A8","yellow"
"RGS1","RGS1","RGS1","yellow"
"DSP","DSP","DSP","pink"
"TNFRSF11B","TNFRSF11B","TNFRSF11B","pink"
"S100A12","S100A12","S100A12","yellow"
"MT2A","MT2A","MT2A","blue"
"LTF","LTF","LTF","brown"
"GFRA3","GFRA3","GFRA3","brown"
"HLA-DRB1","HLA-DRB1","HLA-DRB1","blue"
"PTGDS","PTGDS","PTGDS","pink"
"F13A1","F13A1","F13A1","pink"
"DEFB1","DEFB1","DEFB1","pink"
"MT1G","MT1G","MT1G","blue"
"SELE","SELE","SELE","blue"
"SLC6A20","SLC6A20","SLC6A20","pink"
"MUTYH","MUTYH","MUTYH","turquoise"
"S100A9","S100A9","S100A9","yellow"
"TMPRSS5","TMPRSS5","TMPRSS5","blue"
"SLC1A7","SLC1A7","SLC1A7","blue"
"APOD","APOD","APOD","pink"
"CLU","CLU","CLU","royalblue"
"CXCL1","CXCL1","CXCL1","blue"
"PLA2G2A","PLA2G2A","PLA2G2A","pink"
"PCK1","PCK1","PCK1","yellow"
"IGF2","IGF2","IGF2","pink"
"SNCB","SNCB","SNCB","brown"
"BMP4","BMP4","BMP4","pink"
"SERPINA3","SERPINA3","SERPINA3","darkgreen"
"CRYAB","CRYAB","CRYAB","lightcyan"
"IL1R2","IL1R2","IL1R2","yellow"
"MBP","MBP","MBP","red"
"MARCO","MARCO","MARCO","pink"
"ADM","ADM","ADM","blue"
"SIX1","SIX1","SIX1","pink"
"PPBP","PPBP","PPBP","blue"
"CHI3L1","CHI3L1","CHI3L1","darkgreen"
"VNN2","VNN2","VNN2","yellow"
"GLP1R","GLP1R","GLP1R","blue"
"SLN","SLN","SLN","turquoise"
"CYP1B1","CYP1B1","CYP1B1","pink"
"BAG3","BAG3","BAG3","lightcyan"
"KDR","KDR","KDR","pink"
"FMOD","FMOD","FMOD","pink"
"OR7A5","OR7A5","OR7A5","blue"
"PF4","PF4","PF4","blue"
"CRYBB2","CRYBB2","CRYBB2","turquoise"
"DDX17","DDX17","DDX17","blue"
"MRC1","MRC1","MRC1","pink"
"CXCL2","CXCL2","CXCL2","blue"
"GTF2A1","GTF2A1","GTF2A1","turquoise"
"SAGE1","SAGE1","SAGE1","turquoise"
"EGR1","EGR1","EGR1","midnightblue"
"POU4F2","POU4F2","POU4F2","blue"
"VIM","VIM","VIM","yellow"
"ANGPT2","ANGPT2","ANGPT2","blue"
"ANGPTL4","ANGPTL4","ANGPTL4","blue"
"TDGF1","TDGF1","TDGF1","red"
"WIF1","WIF1","WIF1","turquoise"
"CP","CP","CP","darkgreen"
"NR4A1","NR4A1","NR4A1","midnightblue"
"DNAJB1","DNAJB1","DNAJB1","lightcyan"
"SLC18A2","SLC18A2","SLC18A2","lightgreen"
"EGR2","EGR2","EGR2","midnightblue"
"CD34","CD34","CD34","blue"
"MYL9","MYL9","MYL9","blue"
"SLCO4A1","SLCO4A1","SLCO4A1","cyan"
"SNAP25","SNAP25","SNAP25","turquoise"
"G0S2","G0S2","G0S2","lightcyan"
"SLC1A2","SLC1A2","SLC1A2","royalblue"
"FOXJ1","FOXJ1","FOXJ1","lightcyan"
"SERPIND1","SERPIND1","SERPIND1","pink"
"SLC27A6","SLC27A6","SLC27A6","blue"
"MT1X","MT1X","MT1X","blue"
"VIP","VIP","VIP","midnightblue"
