"","neuronBYo","AveExpr","F","P.Value","adj.P.Val"
"Tbr1",6.25646309793388,1.08429796547874,342.993194362966,1.68261470244599e-17,5.31778358031609e-15
"Robo2",3.55805555553144,0.505432392793986,334.089479206989,2.38493738305187e-17,7.43126334158541e-15
"Gm29483",3.40068463099123,0.304473649678326,327.891960768261,3.05592256786015e-17,9.38974652344029e-15
"Gm18294",4.40435599458927,0.580563311350062,324.418263614234,3.51813437184924e-17,1.06618748915645e-14
"Ebf3",4.76403601452701,0.596574949686864,316.706439276291,4.83392362414201e-17,1.44514719374181e-14
"Ablim3",3.44560488655367,0.449899715759661,310.430159951313,6.29363778074586e-17,1.85645531497921e-14
"Dpysl5",5.47520556337898,0.867565701507579,308.763828061432,6.75593924311836e-17,1.96660057730931e-14
"Gm26339",2.83246915642443,0.188831277094962,306.273803317286,7.51574615515611e-17,2.15936171675998e-14
"Kcnj5",4.6916164359092,0.56114201720004,305.958575108089,7.61827058683057e-17,2.16075641272375e-14
"Lhx8",3.0982636571255,0.273938179812119,303.560425242479,8.44899434246567e-17,2.36603926377681e-14
"Grm2",6.10346656748101,0.871454865145115,300.677364091036,9.57800905204109e-17,2.64867867822881e-14
"Trank1",4.19939822622464,0.54639426837419,297.587255803799,1.09696047883558e-16,2.99605637941723e-14
"Gm25607",3.77666940979123,0.251777960652749,286.002702850887,1.84568804749589e-16,4.94512488047058e-14
"Lhx1",6.32372055805046,0.764109424864312,285.889300425487,1.85528800379269e-16,4.94512488047058e-14
"Kcnc2",3.17557843970947,0.39195145971302,283.175444252659,2.10171466200111e-16,5.47840218763279e-14
"Vstm2l",4.50126207808501,0.589191249187344,283.142765872682,2.1048871579297e-16,5.47840218763279e-14
"Gm25455",2.19483738324643,0.146322492216429,282.284091715518,2.19011222013412e-16,5.63393635418919e-14
"Xkr7",2.61436940333178,0.236744453862117,281.134871691651,2.30999697188593e-16,5.87403023092326e-14
"Vmn2r1",4.35103955818406,0.477775608831437,280.331431804836,2.39797000627005e-16,6.02844209644458e-14
"Ubap1l",4.93452308232251,0.873174888035447,279.963019725618,2.43950182074014e-16,6.03571028609414e-14
"P2rx5",5.595856743761,0.783422885548536,279.823537638909,2.4554261435993e-16,6.03571028609414e-14
"Gm3510",2.96489603836925,0.313702955759946,276.384712144928,2.88537046733619e-16,7.01462097240423e-14
"Cacna2d2",5.28475904141079,0.609850762449051,273.438364981444,3.31798428052715e-16,7.97867024327198e-14
"Rgs8",2.94265540051884,0.335959875772082,273.173166658203,3.36019538368635e-16,7.99329058852613e-14
"Tmem210",4.73832777962396,0.541508566377088,267.545769254998,4.40575143734842e-16,1.03689828774956e-13
"Mirg",4.50324734005212,0.594903941878385,266.148180093978,4.71615456647175e-16,1.09826828920057e-13
"Fibcd1",3.68948852375618,0.408157874511954,264.882453464011,5.01750697957753e-16,1.1562740303041e-13
"Syt1",3.60914888046019,0.524411018776561,262.941494554856,5.52033408939904e-16,1.25903454700799e-13
"Crh",4.7788068826734,0.509421445931136,260.409981162951,6.25865482882451e-16,1.41285939569474e-13
"Snhg11",8.88672607768885,2.15319382975613,256.634849227651,7.56265792895204e-16,1.68998668042632e-13
"Trpv6",4.1941601321231,0.554551853777782,256.381526970003,7.66000234463877e-16,1.69462231870443e-13
"Ajap1",2.66480996247255,0.329752000363505,254.462429691551,8.44246902094488e-16,1.84923507079568e-13
"Wscd2",2.36749236864806,0.292741493785111,253.208561914034,8.99960510989577e-16,1.95194376319827e-13
"Cpne5",2.70262708187339,0.345642377239214,249.948090886566,1.06408731042403e-15,2.28551490956416e-13
"Krt73",2.29739979997791,0.211841831601877,245.883209635192,1.31488331235388e-15,2.79703495376969e-13
"Myt1l",2.85195603884709,0.366594070229043,241.594217421434,1.64952099346418e-15,3.47546218461028e-13
"Lhx9",2.79201415666573,0.282904087296517,241.229305618667,1.68193085022914e-15,3.51031662260559e-13
"Elavl2",3.40175256253961,0.494721882447055,239.271952200776,1.8678045844306e-15,3.86181689919234e-13
"Doc2b",2.85762889805099,0.412300815817894,239.033403465823,1.8919180415761e-15,3.8754539660915e-13
"Npy2r",2.97762794088591,0.308944456849171,238.418305156389,1.95564434966383e-15,3.96924036216633e-13
"Gm23787",3.95914137424236,0.263942758282824,235.513469008356,2.2892260219235e-15,4.60404975300124e-13
"Ceacam16",3.3220517470258,0.345023846509978,234.192689064675,2.46058638225896e-15,4.9041038319563e-13
"Gm15264",2.32861761334761,0.264421465933655,229.618627291847,3.16843088168069e-15,6.25849967816266e-13
"Cyp4x1",3.27273164636191,0.640059829282981,225.301150356908,4.03921573974587e-15,7.90792653189362e-13
"Nxph3",5.3898306186937,1.02625462241585,224.425145590128,4.24534299217902e-15,8.2385721943839e-13
"Slc17a8",2.66070794975227,0.282849708799574,224.241119433935,4.29005882155212e-15,8.25295402688674e-13
"Cacng2",2.33576452384916,0.279162340532488,222.931706415532,4.62314801183257e-15,8.81706064360104e-13
"Mir667",2.09985240379467,0.139990160252978,222.029310202312,4.86874419938409e-15,9.20608785666447e-13
"Adcyap1",3.80078604681806,0.532479008592362,221.548706677608,5.00520924013515e-15,9.38391898470423e-13
"Stmn2",5.85739451646977,1.37009563943888,221.024913075425,5.15861120777612e-15,9.59024838232194e-13
"Plek2",2.86086223390442,0.414353366382492,220.097186768599,5.4427921051743e-15,1.00342408118976e-12
"Gm43279",4.97542389051501,0.797585903987288,217.768537902623,6.23253835076788e-15,1.1395243465623e-12
"Epha8",2.55897776260506,0.264979188472412,217.035752807876,6.50575178958252e-15,1.17972743312241e-12
"Chrm5",2.94819552850409,0.259720238821223,216.274635196232,6.80314352774863e-15,1.22362556312507e-12
"4930539E08Rik",2.48116871515913,0.439171426511632,212.289794506803,8.61671588380176e-15,1.53731939917215e-12
"Kcnb2",3.09298735307135,0.365480048667989,211.928569258567,8.80500322319552e-15,1.55834469045404e-12
"Selenov",2.87706629626999,0.369315089026544,211.324107406737,9.12999147058838e-15,1.60303810558593e-12
"Scrt2",3.10709231636613,0.440200845065525,210.228189751472,9.75239159794979e-15,1.69883590016884e-12
"Fam131c",3.15556800243655,0.372895173517368,208.906151000124,1.05642230707027e-14,1.82587739838403e-12
"Doc2a",3.57197990774795,0.553823600813574,207.436621515,1.15522561089486e-14,1.98116714649821e-12
"Tmem130",6.69332751848499,1.10321297422749,207.232843364153,1.16968894453199e-14,1.99054065537547e-12
"Erc2",2.58905303979265,0.352428720993839,206.660095040522,1.21138749292263e-14,2.04576530579598e-12
"Rtl1",3.44741314797175,0.490135631145051,205.601468332337,1.29270474521787e-14,2.16655356654961e-12
"Vmn2r2",2.77944264700436,0.301796250135431,204.230310249272,1.4068142896124e-14,2.34007161872896e-12
"Thsd7b",2.59098307644204,0.316386137329653,203.58745616274,1.46398175991913e-14,2.41699018467843e-12
"Gm44156",3.15249479441475,0.245729427645516,203.046084743577,1.51405299951268e-14,2.48114033394215e-12
"Gm26580",2.57131331771594,0.215630573282644,202.18642064096,1.5973650549858e-14,2.59841964054785e-12
"Insm2",4.93660332983442,0.876863570219805,197.316522895294,2.1719666646017e-14,3.50061871673886e-12
"Th",1.90702127656395,0.165621075141713,197.232537033463,2.18363414957267e-14,3.50061871673886e-12
"Sv2b",2.734795820107,0.392387824769832,194.539598019134,2.59566694182033e-14,4.1312186873303e-12
"Gm6013",2.91151989879162,0.277900231409265,190.558704352176,3.36438738225836e-14,5.31645300412155e-12
"Grip2",2.66281386471513,0.477125532587288,189.426224713422,3.62518745381682e-14,5.68794482558791e-12
"Mir493",4.82072380434574,0.321381586956383,187.990822619116,3.98723800422875e-14,6.21194833574314e-12
"Mir337",2.28587165324952,0.152391443549968,184.534710573414,5.02752299292015e-14,7.7778944875785e-12
"Slc32a1",6.44615524276468,1.11306820331824,183.846705065779,5.26735399586335e-14,8.09233836461701e-12
"Gjd2",4.35133522058733,0.57142919736814,183.370223573837,5.44060741858081e-14,8.3008660635354e-12
"Iqsec3",3.66228477637153,0.530869766428214,183.013257637605,5.57439476327164e-14,8.44673529779852e-12
"Gm35842",2.65340321658302,0.349701431774814,179.381156641755,7.15443425607845e-14,1.07671802072941e-11
"Gm11972",2.24888157605484,0.193931751520929,179.173145365518,7.25837813943424e-14,1.08498040255881e-11
"Prmt8",2.75012390916251,0.413448102807904,176.342117803113,8.84563538150753e-14,1.31336907077242e-11
"Necab1",2.19347934428022,0.2717683726933,175.728925624052,9.23612019821685e-14,1.36220458096768e-11
"Igsf9",4.83439493535662,1.06611332106011,174.282671468569,1.02320520619935e-13,1.49909726998332e-11
"Amer3",3.81855766607068,0.514928622572508,173.994309638965,1.04440309008468e-13,1.52008747118049e-11
"Cacna1b",3.85955951630277,0.572303730996896,171.802989050436,1.22169161803659e-13,1.76650220038062e-11
"Npy",7.6552156470827,1.44729571972419,171.371907301589,1.26021663800263e-13,1.81037484951508e-11
"Tas1r1",2.7784274503664,0.530598786555706,167.565177727182,1.66264331803089e-13,2.37307471772886e-11
"Atp6ap1l",3.07570656648209,0.523714353821633,167.409521802259,1.68178386702391e-13,2.38500669808781e-11
"Sst",8.45274712717081,2.4089935186899,166.346285975573,1.81899995007674e-13,2.56316789143616e-11
"Gcgr",2.8956050008602,0.367424592028606,166.227682836933,1.8350331462666e-13,2.56939482878835e-11
"Gm8614",1.68690835248329,0.11246055683222,165.751009916001,1.90101274829991e-13,2.64503805224144e-11
"Casz1",2.09597450673711,0.379962638368474,164.872754432594,2.02931725514161e-13,2.80591160221861e-11
"Crhbp",3.63420044558752,0.479118579551529,164.504396181955,2.08586093635085e-13,2.86618021707390e-11
"AC061963.1",2.24640756371873,0.283393549313042,164.268004577613,2.12303372271294e-13,2.89925154614681e-11
"Fibin",6.33099281473531,0.998959481328493,164.124238369837,2.14598715946025e-13,2.90528741301651e-11
"Stk32b",1.98075970293179,0.27925286712369,164.076184284405,2.15371846374681e-13,2.90528741301651e-11
"H2-M6-ps",2.93488702945183,0.336875036863499,162.848612593271,2.36167338937192e-13,3.16650305412575e-11
"Gm28111",1.99375587551001,0.171920867750915,161.863637834763,2.54405720883754e-13,3.38353910243892e-11
"9330162G02Rik",2.25671660383222,0.383474073825487,161.722258405976,2.5714488479776e-13,3.38353910243892e-11
"Gm43446",1.6300311572719,0.108668743818127,161.678452235596,2.57999999085546e-13,3.38353910243892e-11
"Plppr3",5.96008983837036,1.63768182013085,161.654327245575,2.58472227235085e-13,3.38353910243892e-11
"Gria1",3.86357159569867,0.580949315787532,161.232536038033,2.66879615439453e-13,3.47304572492177e-11
"Ghsr",2.1386761566088,0.206546188808423,161.010252623247,2.71427592608219e-13,3.49385794604808e-11
"Gm22165",3.75381922567977,0.250254615045318,161.000091373768,2.71637466311201e-13,3.49385794604808e-11
"Mir7-2",2.46774348303762,0.164516232202508,160.905346341019,2.73602737211605e-13,3.49879384701291e-11
"Gm26249",2.0701706759125,0.138011378394167,157.228852594716,3.62943660367494e-13,4.61459919443107e-11
"Palm3",3.36055442888812,0.628282579191886,156.906631203142,3.72143932234207e-13,4.70453726446706e-11
"Gm4211",2.5769054175094,0.315341670170474,156.382906997223,3.87634097358766e-13,4.87251655447044e-11
"Fam219aos",1.88686874996969,0.183343729724935,156.02522793219,3.98608723180061e-13,4.98215863441383e-11
"Zic4",3.26889473515758,0.480487513806984,155.148490210282,4.26940422461308e-13,5.30629380118624e-11
"Prokr2",2.38427425577346,0.314144015603582,154.587238969516,4.46202894805492e-13,5.49074156981613e-11
"Tmem200a",1.98932728513524,0.290675794761437,154.571827053079,4.46744782609458e-13,5.49074156981613e-11
"Ccbe1",2.14642443409489,0.269166353085953,154.215694358632,4.59464642292462e-13,5.6158763985835e-11
"Ndst3",1.97474461663394,0.270913951588722,152.066071381687,5.44952167255405e-13,6.6241630748304e-11
"Aloxe3",2.29513024482624,0.391946336152039,151.746570700202,5.59047331345343e-13,6.74033136326259e-11
"Nwd2",2.07835987920094,0.283197092883257,151.711847397668,5.60602527161921e-13,6.74033136326259e-11
"Penk",5.1351391828071,1.01154793142374,151.083933879049,5.89539024331086e-13,7.04993072177115e-11
"Synpr",2.12693692558587,0.27101998428586,150.821492604133,6.02103101150948e-13,7.16146607890453e-11
"Nyap2",2.23756545414145,0.285681426653698,147.9056385747,7.62678062899455e-13,9.02284854840891e-11
"Slc6a7",4.00355834134748,0.642654114286238,147.725703930456,7.73985407041998e-13,9.10791444680325e-11
"Gm37928",3.67194851095835,0.438615287281656,147.64434387557,7.79156944608341e-13,9.12025877543404e-11
"Tdrd6",2.93681043200159,0.434233885148014,146.874197192989,8.299821754919e-13,9.66405035179332e-11
"Ctxn2",2.38325618416987,0.378750036947952,146.481041742762,8.57285485877389e-13,9.90052559511336e-11
"Mettl7a3",2.88501473520687,0.441989661472795,146.453385946719,8.59241926620153e-13,9.90052559511336e-11
"Epha7",2.28457106556171,0.345489880648117,146.117006541137,8.83424401941861e-13,1.01264238570776e-10
"Tuft1",3.44436006997774,0.829691975177028,141.635738853114,1.28534671232114e-12,1.4657590369423e-10
"E330013P04Rik",3.28987279927864,0.583992788976487,141.564562996065,1.29312806270772e-12,1.46707036570682e-10
"Gm42654",1.78611413836656,0.128911423588714,141.495760969889,1.3006978105516e-12,1.46812947259353e-10
"1600029O15Rik",3.27519884058364,0.498919842015285,140.55888513774,1.40862977735102e-12,1.58188408956024e-10
"Ybx2",4.72694094582698,0.695802477153825,139.358615048484,1.56111120810012e-12,1.74426582105045e-10
"Gm12709",3.75992460461036,0.56304953713914,139.242807656507,1.57673097459715e-12,1.75286529402074e-10
"Drd2",1.90224061457358,0.238503034320371,138.641688149045,1.66053964437645e-12,1.83680592762701e-10
"Car10",2.23865189770517,0.333460948944861,138.34775869782,1.7032431607223e-12,1.87466907684872e-10
"Serpini1",2.75168167031659,0.695579231667138,138.055268250049,1.74690586449159e-12,1.91320784357165e-10
"Vax1",3.8698943291723,0.412961558846672,137.690136638094,1.8030998468761e-12,1.96502354248473e-10
"Pla2g4e",2.18359813046792,0.365256759578232,137.344702985997,1.85804523732839e-12,2.01497719536353e-10
"Dlx2",6.37263476915478,1.16700019538763,136.852350679655,1.93947757400947e-12,2.09302743267373e-10
"4930572O13Rik",2.62932160656541,0.255454848497245,136.483615910193,2.00296195343274e-12,2.15104501435886e-10
"Rian",5.66892950457285,1.315223643979,136.198474200037,2.05357768891351e-12,2.19474875419486e-10
"Amy1",3.52327296033183,0.691088467982798,135.654731774638,2.1539302569466e-12,2.29093264780912e-10
"Cacna2d1",3.73567067523605,0.663047694814216,135.238279988408,2.23433472439504e-12,2.36508072286084e-10
"Cdh4",2.98829782696007,0.425457217973702,135.044811555098,2.27277468225073e-12,2.39431401406823e-10
"Gad2",4.46852303989164,0.65210615391703,133.693179670041,2.56188458755707e-12,2.68609349433768e-10
"Gm29374",2.78299245644118,0.314213206282325,131.410282616498,3.14334222712514e-12,3.27745903557186e-10
"Mme",2.11150576561684,0.297708487365641,131.367391167269,3.15553394465853e-12,3.27745903557186e-10
"Rab3b",2.4612070619922,0.509820559093605,129.780937047032,3.64399187014006e-12,3.76710430575274e-10
"Gng2",4.43917924700769,2.13944317194929,129.535766748655,3.72643112559086e-12,3.82791451286159e-10
"Rtbdn",3.81132621833663,0.707493604798148,129.503523840362,3.73742048898478e-12,3.82791451286159e-10
"Sfta3-ps",1.92200689464344,0.250604566105578,129.221059104411,3.83518860398763e-12,3.90994827124508e-10
"Slc6a17",4.39688754927372,1.14909526965145,128.146349895113,4.23293774877101e-12,4.29565512917711e-10
"Spock1",1.93990395889907,0.280439187926746,127.648188061269,4.43207572950944e-12,4.4772059983533e-10
"B230208B08Rik",2.85536638542061,0.3414288883772,127.096797393309,4.6642382005808e-12,4.69031553233859e-10
"Gm35025",3.92728780619189,0.82791419672392,127.03243295006,4.69217523048478e-12,4.69705848977442e-10
"Epha3",1.93194179304933,0.270055889705648,126.473635002186,4.94237824740271e-12,4.92523576429235e-10
"Nppc",5.13396581881191,1.0024907572172,126.336878070089,5.00576082924415e-12,4.9660290056219e-10
"Tfr2",2.55174738978625,0.503404401035155,125.654493484569,5.33528741365944e-12,5.26931086841017e-10
"Slc2a13",3.32522894290972,0.589848001806464,125.355347578364,5.48699555059228e-12,5.39505789181125e-10
"Bhlhe22",6.0329837353228,1.41336458643163,125.085644720562,5.62773161608674e-12,5.50895161693305e-10
"Neurod6",4.43877017960602,0.997424066871687,124.981337006498,5.68319263976742e-12,5.53873439513544e-10
"Ngfr",2.22149857508192,0.348338380020582,124.866508240898,5.74492464843578e-12,5.57434070163793e-10
"Htr1a",3.16853942495171,0.448447756233969,123.534233567418,6.51601391947802e-12,6.29492471356385e-10
"Efna3",3.72349311146054,0.808400452738834,123.151898881371,6.75722367982726e-12,6.4995678029921e-10
"Nxnl2",2.70347960638661,0.380682882995277,122.970170788335,6.87520686682078e-12,6.58442430799463e-10
"Srrm4",1.92519332036913,0.173354277998517,122.831934671872,6.96642905156777e-12,6.64303059947559e-10
"Mal2",3.2315769054141,0.645187208710871,121.600610983789,7.83851712185578e-12,7.44255426123671e-10
"Hecw1",1.89650896067825,0.281548205471053,120.950436570688,8.34550487516831e-12,7.86586119412746e-10
"Cntnap2",2.05686550781719,0.276756324902722,120.938102416117,8.35545532079714e-12,7.86586119412746e-10
"Gm9954",3.25597437814609,0.476060650481817,120.875198687249,8.40640003222823e-12,7.88028762343157e-10
"Mir540",3.66060980148625,0.244040653432417,119.955349270068,9.1905739996676e-12,8.57903243015386e-10
"Uts2r",1.81170529954518,0.154399231107716,118.815145045995,1.02728510368501e-11,9.52566455160098e-10
"Dmrt3",3.9592835482693,0.498500927973256,118.791038678398,1.02971549031535e-11,9.52566455160098e-10
"Cbln4",3.74835508794596,0.591449993368851,118.754748582026,1.03338583934558e-11,9.52566455160098e-10
"Ndnf",7.79138071592668,1.38246218142517,118.587705784304,1.05046181503138e-11,9.64289076097062e-10
"Tenm4",1.87011239847413,0.298555084375088,117.428619549042,1.17759249707725e-11,1.07652391788595e-09
"Calb1",3.03696503653219,0.603260782785511,115.750141411264,1.39171789832856e-11,1.26703601089394e-09
"Npas4",7.30817300926399,1.48205823689376,114.966552096036,1.50562110511391e-11,1.36511703723095e-09
"Slc38a4",1.83085436672951,0.237831100930301,114.793939058553,1.53202872467395e-11,1.38339067248824e-09
"Meg3",7.25971588701077,2.04171876188632,112.616859796876,1.91118145892133e-11,1.71874257787466e-09
"Nrip3",3.60487077789996,1.07495070143051,111.916567977021,2.05357701166594e-11,1.83659344339907e-09
"Cacna2d3",1.9546635576979,0.279468999949328,111.891732427943,2.05883096308353e-11,1.83659344339907e-09
"Usp29",1.92901647885267,0.304815459140725,111.507568087817,2.14195879254172e-11,1.90307447258636e-09
"Trpc4",1.74074893530274,0.245235133903284,111.3945369267,2.16709545518242e-11,1.91770611020003e-09
"Syt7",4.20804103917259,1.07353600318531,111.302665521533,2.18775895845673e-11,1.92827854334415e-09
"Krtap28-13",2.69079925321416,0.294236789997945,111.06778217784,2.24155279642035e-11,1.9678520839368e-09
"Gm21984",1.90107337225289,0.25076456804701,110.717326172468,2.32446293113058e-11,2.0325728626641e-09
"Gpr101",1.81606748143614,0.166463535123682,110.225168355055,2.44648121539e-11,2.13084661134145e-09
"Gm32444",3.1368470627857,0.44866232681125,110.070459341728,2.48623917675132e-11,2.156983110089e-09
"Gm3084",1.49821325309487,0.115104608852648,109.923527617403,2.5246389972479e-11,2.181741739692e-09
"Camta1",1.94107363631758,0.497711743919063,109.836292643479,2.54773718516981e-11,2.19313578784092e-09
"Rxfp1",1.74258390586213,0.276757746169936,108.483619258379,2.93636893678519e-11,2.51787945691856e-09
"D830044I16Rik",3.34074960196447,1.98450560112933,108.133934822331,3.04683878160566e-11,2.60251792916841e-09
"Rnf152",2.87614212950035,0.483787293173571,107.421893410431,3.28576779082681e-11,2.79580926294082e-09
"D130043K22Rik",2.03676129426603,0.365651271560107,106.740114005444,3.53340673830495e-11,2.99500219431113e-09
"Gm44811",2.80685529288418,0.230967761952046,106.5320890829,3.61288572331253e-11,3.05068209377264e-09
"Trpv1",1.61068437540145,0.200737178942473,105.942417741291,3.84875418109557e-11,3.22717665934917e-09
"Gm4825",2.77993364225626,0.317664533244287,105.936795202612,3.85108094773847e-11,3.22717665934917e-09
"Tacr1",1.6583791060341,0.201383045105325,105.666893158022,3.96456346662769e-11,3.30973726687564e-09
"Gpr149",2.36441623947618,0.362304038710688,105.135222568213,4.1987095451291e-11,3.49203200251471e-09
"Bmp5",1.69543548699736,0.233633238593572,104.896240697217,4.30873721672674e-11,3.55950010943807e-09
