"","Gene","Category"
"1","Ndrg1","myeoligoBYo"
"2","Tbc1d9b","myeoligoBYo"
"3","Trp53inp2","myeoligoBYo"
"4","Pla2g16","myeoligoBYo"
"5","AC161763.1","myeoligoBYo"
"6","Nmral1","myeoligoBYo"
"7","Arsg","myeoligoBYo"
"8","Pdlim2","myeoligoBYo"
"9","Adamtsl4","myeoligoBYo"
"10","Hist1h4c","myeoligoBYo"
"11","Adssl1","myeoligoBYo"
"12","Trak2","myeoligoBYo"
"13","Qdpr","myeoligoBYo"
"14","Slc48a1","myeoligoBYo"
"15","Cyp2j12","myeoligoBYo"
"16","Acy3","myeoligoBYo"
"17","Inf2","myeoligoBYo"
"18","Gng13","myeoligoBYo"
"19","Endod1","myeoligoBYo"
"20","Itgb4","myeoligoBYo"
"21","Josd2","myeoligoBYo"
"22","AC140244.1","myeoligoBYo"
"23","Carns1","myeoligoBYo"
"24","Hist1h4h","myeoligoBYo"
"25","Adi1","myeoligoBYo"
"26","Prr5l","myeoligoBYo"
"27","Hist1h4i","myeoligoBYo"
"28","Cryab","myeoligoBYo"
"29","Gamt","myeoligoBYo"
"30","Insc","myeoligoBYo"
"31","Hcn2","myeoligoBYo"
"32","Cdc42ep2","myeoligoBYo"
"33","Ppp1r14a","myeoligoBYo"
"34","Cers2","myeoligoBYo"
"35","Padi2","myeoligoBYo"
"36","Gjb1","myeoligoBYo"
"37","Smtnl2","myeoligoBYo"
"38","Tprn","myeoligoBYo"
"39","Tppp3","myeoligoBYo"
"40","Car14","myeoligoBYo"
"41","Nol3","myeoligoBYo"
"42","Sp7","myeoligoBYo"
"43","Anln","myeoligoBYo"
"44","Pigz","myeoligoBYo"
"45","Aspa","myeoligoBYo"
"46","Shisa8","myeoligoBYo"
"47","Gsn","myeoligoBYo"
"48","Gpr62","myeoligoBYo"
"49","Phlda3","myeoligoBYo"
"50","Plekhb1","myeoligoBYo"
"51","Apod","myeoligoBYo"
"52","Sept4","myeoligoBYo"
"53","Tmod1","myeoligoBYo"
"54","Efhd1","myeoligoBYo"
"55","B3galt5","myeoligoBYo"
"56","Nrtn","myeoligoBYo"
"57","Plpp2","myeoligoBYo"
"58","Hapln2","myeoligoBYo"
"59","Klk6","myeoligoBYo"
"60","Gm12326","myeoligoBYo"
"61","Micall1","myeoligoBYo"
"62","Rftn1","myeoligoBYo"
"63","2700046A07Rik","myeoligoBYo"
"64","Galnt6","myeoligoBYo"
"65","Plekhh1","myeoligoBYo"
"66","Mbp","myeoligoBYo"
"67","Larp6","myeoligoBYo"
"68","Gm10687","myeoligoBYo"
"69","Adap1","myeoligoBYo"
"70","Mog","myeoligoBYo"
"71","Gng8","myeoligoBYo"
"72","Mal","myeoligoBYo"
"73","Smim1","myeoligoBYo"
"74","Gm19439","myeoligoBYo"
"75","Lpar1","myeoligoBYo"
"76","Gpr37","myeoligoBYo"
"77","Nkx6-2","myeoligoBYo"
"78","Cnp","myeoligoBYo"
"79","Slain1","myeoligoBYo"
"80","Cmtm5","myeoligoBYo"
"81","Gm5067","myeoligoBYo"
"82","S100b","myeoligoBYo"
"83","Nkain1","myeoligoBYo"
"84","Rpl31-ps15","myeoligoBYo"
"85","Gm21168","myeoligoBYo"
"86","Tmem151a","myeoligoBYo"
"87","Ly6g6f","myeoligoBYo"
"88","Opalin","myeoligoBYo"
"89","Scd1","myeoligoBYo"
"90","Aplp1","myeoligoBYo"
"91","Efnb3","myeoligoBYo"
"92","Cntn2","myeoligoBYo"
"93","Fa2h","myeoligoBYo"
"94","mt-Rnr1","myeoligoBYo"
"95","Gm14516","myeoligoBYo"
"96","S1pr5","myeoligoBYo"
"97","Kif5a","myeoligoBYo"
"98","Sec14l5","myeoligoBYo"
"99","Traj18","myeoligoBYo"
"100","Sh3gl3","myeoligoBYo"
"101","Dock5","myeoligoBYo"
"102","Nipal4","myeoligoBYo"
"103","Tmem88b","myeoligoBYo"
"104","Map6d1","myeoligoBYo"
"105","Mobp","myeoligoBYo"
"106","Ermn","myeoligoBYo"
"107","Gm33594","myeoligoBYo"
"108","Gm43653","myeoligoBYo"
"109","Gal3st1","myeoligoBYo"
"110","Gm12390","myeoligoBYo"
"111","Gm11954","myeoligoBYo"
"112","Gjc2","myeoligoBYo"
"113","AC110091.1","myeoligoBYo"
"114","Sh3d2c-ps1","myeoligoBYo"
"115","Cldn11","myeoligoBYo"
"116","Gm7424","myeoligoBYo"
"117","Lgi3","myeoligoBYo"
"118","Kcna1","myeoligoBYo"
"119","Mag","myeoligoBYo"
"120","Gm4974","myeoligoBYo"
"121","Gm36961","myeoligoBYo"
"122","Tmem125","myeoligoBYo"
"123","Plp1","myeoligoBYo"
