"","Gene","Category"
"1","Dubr","preoligoBYo"
"2","Rgs16","preoligoBYo"
"3","Ttyh2","preoligoBYo"
"4","Ldlrap1","preoligoBYo"
"5","Nod1","preoligoBYo"
"6","Parvb","preoligoBYo"
"7","Unc5b","preoligoBYo"
"8","Acy3","preoligoBYo"
"9","AC140244.1","preoligoBYo"
"10","Gamt","preoligoBYo"
"11","Car14","preoligoBYo"
"12","Fam43a","preoligoBYo"
"13","Gm9847","preoligoBYo"
"14","Cdc42ep2","preoligoBYo"
"15","Nkx6-2","preoligoBYo"
"16","Tprn","preoligoBYo"
"17","Cdk18","preoligoBYo"
"18","Il23a","preoligoBYo"
"19","Gm22513","preoligoBYo"
"20","Mag","preoligoBYo"
"21","Gpr37","preoligoBYo"
"22","Ssh3","preoligoBYo"
"23","Sema4d","preoligoBYo"
"24","Etnk2","preoligoBYo"
"25","Mir344f","preoligoBYo"
"26","Mcam","preoligoBYo"
"27","Tpd52-ps","preoligoBYo"
"28","Sept4","preoligoBYo"
"29","Gjc2","preoligoBYo"
"30","Pacs2","preoligoBYo"
"31","Adamts4","preoligoBYo"
"32","Gm47135","preoligoBYo"
"33","Nipal4","preoligoBYo"
"34","Gpr15","preoligoBYo"
"35","Opalin","preoligoBYo"
"36","Sec14l5","preoligoBYo"
"37","Cpm","preoligoBYo"
"38","Cldn11","preoligoBYo"
"39","Tmem151a","preoligoBYo"
"40","Enpp6","preoligoBYo"
"41","Sgk2","preoligoBYo"
"42","Prickle1","preoligoBYo"
"43","Tmem125","preoligoBYo"
"44","1700001P01Rik","preoligoBYo"
"45","Plpp2","preoligoBYo"
"46","Gm42528","preoligoBYo"
"47","Micall1","preoligoBYo"
"48","Ermn","preoligoBYo"
"49","Plp1","preoligoBYo"
"50","Cnp","preoligoBYo"
"51","Ablim2","preoligoBYo"
"52","Lpar1","preoligoBYo"
"53","Mobp","preoligoBYo"
"54","Casr","preoligoBYo"
"55","Frmd4a","preoligoBYo"
"56","Gm10687","preoligoBYo"
"57","Fah","preoligoBYo"
"58","AC110091.1","preoligoBYo"
"59","Kndc1","preoligoBYo"
"60","Srcin1","preoligoBYo"
"61","Lgi3","preoligoBYo"
"62","Gpr62","preoligoBYo"
"63","Prima1","preoligoBYo"
"64","Bace2","preoligoBYo"
"65","Npbwr1","preoligoBYo"
"66","n-R5s172","preoligoBYo"
"67","Epcam","preoligoBYo"
"68","Mir344i","preoligoBYo"
"69","Chrne","preoligoBYo"
"70","Il12rb1","preoligoBYo"
"71","Dbndd2","preoligoBYo"
"72","Plekhh1","preoligoBYo"
"73","Sftpc","preoligoBYo"
"74","Jakmip3","preoligoBYo"
"75","Nfe2l3","preoligoBYo"
"76","Map1b","preoligoBYo"
"77","Gm16401","preoligoBYo"
"78","Gm33594","preoligoBYo"
"79","Npb","preoligoBYo"
"80","Cldn19","preoligoBYo"
"81","Tmem88b","preoligoBYo"
"82","Tspan15","preoligoBYo"
"83","Ddc","preoligoBYo"
"84","Tnni1","preoligoBYo"
"85","Nfasc","preoligoBYo"
"86","Cldn14","preoligoBYo"
"87","Hist1h2ad","preoligoBYo"
"88","Gm42966","preoligoBYo"
"89","Rassf10","preoligoBYo"
"90","Gm21168","preoligoBYo"
"91","Gm24183","preoligoBYo"
"92","Gm26583","preoligoBYo"
"93","Dnaic2","preoligoBYo"
"94","Gm29127","preoligoBYo"
"95","Kif19a","preoligoBYo"
"96","Gm42492","preoligoBYo"
"97","Hist1h3h","preoligoBYo"
"98","St18","preoligoBYo"
"99","Col9a1","preoligoBYo"
"100","Plch2","preoligoBYo"
"101","Nrtn","preoligoBYo"
"102","Tspan2","preoligoBYo"
"103","Gm43520","preoligoBYo"
"104","Dnah10","preoligoBYo"
"105","AC157572.1","preoligoBYo"
"106","Tmprss5","preoligoBYo"
"107","B3gnt9","preoligoBYo"
"108","Gm36855","preoligoBYo"
"109","Gm42500","preoligoBYo"
"110","Gm47063","preoligoBYo"
"111","Ankub1","preoligoBYo"
"112","Gm7931","preoligoBYo"
"113","Gm24480","preoligoBYo"
"114","2010203P06Rik","preoligoBYo"
"115","Myrf","preoligoBYo"
"116","AC122356.1","preoligoBYo"
"117","Mir92b","preoligoBYo"
"118","B230206H07Rik","preoligoBYo"
"119","Gjb4","preoligoBYo"
"120","Gm12778","preoligoBYo"
"121","Gm36961","preoligoBYo"
"122","Gm23814","preoligoBYo"
"123","Gm26058","preoligoBYo"
"124","Mir31","preoligoBYo"
"125","Fa2h","preoligoBYo"
"126","Gm25737","preoligoBYo"
"127","Gm23779","preoligoBYo"
"128","Gm23144","preoligoBYo"
