"","Gene","Category"
"1","AATK","newoligoBYo"
"2","ABLIM2","newoligoBYo"
"3","ABTB2","newoligoBYo"
"4","ADAMTS4","newoligoBYo"
"5","ALOX5","newoligoBYo"
"6","ARHGEF10","newoligoBYo"
"7","B3GNT6","newoligoBYo"
"8","B3GNT9","newoligoBYo"
"9","BACE2","newoligoBYo"
"10","BCAS1","newoligoBYo"
"11","BMP4","newoligoBYo"
"12","BRCA1","newoligoBYo"
"13","CAPN5","newoligoBYo"
"14","CASR","newoligoBYo"
"15","CDK18","newoligoBYo"
"16","CDV3","newoligoBYo"
"17","CHRNE","newoligoBYo"
"18","CHST3","newoligoBYo"
"19","COL11A2","newoligoBYo"
"20","COL20A1","newoligoBYo"
"21","COL2A1","newoligoBYo"
"22","CPM","newoligoBYo"
"23","CPOX","newoligoBYo"
"24","CYFIP2","newoligoBYo"
"25","CYP27A1","newoligoBYo"
"26","DCT","newoligoBYo"
"27","DDC","newoligoBYo"
"28","DLK2","newoligoBYo"
"29","DUSP15","newoligoBYo"
"30","DUSP9","newoligoBYo"
"31","E2F8","newoligoBYo"
"32","ELOVL7","newoligoBYo"
"33","EML1","newoligoBYo"
"34","EN2","newoligoBYo"
"35","ENPP6","newoligoBYo"
"36","EPCAM","newoligoBYo"
"37","ETNK2","newoligoBYo"
"38","FAM3C","newoligoBYo"
"39","FBXO32","newoligoBYo"
"40","FYN","newoligoBYo"
"41","GJC3","newoligoBYo"
"42","GNB4","newoligoBYo"
"43","GP1BB","newoligoBYo"
"44","GPR15","newoligoBYo"
"45","HR","newoligoBYo"
"46","ICK","newoligoBYo"
"47","IGSF9B","newoligoBYo"
"48","IL12RB1","newoligoBYo"
"49","IL23A","newoligoBYo"
"50","ITGB7","newoligoBYo"
"51","ITPR2","newoligoBYo"
"52","KAZN","newoligoBYo"
"53","KIF19","newoligoBYo"
"54","KNDC1","newoligoBYo"
"55","LGI3","newoligoBYo"
"56","LIMS2","newoligoBYo"
"57","MAG","newoligoBYo"
"58","MAP6D1","newoligoBYo"
"59","MARCHF8","newoligoBYo"
"60","MATN1","newoligoBYo"
"61","MICAL3","newoligoBYo"
"62","MIR219A2","newoligoBYo"
"63","MYCL","newoligoBYo"
"64","MYRF","newoligoBYo"
"65","NEU4","newoligoBYo"
"66","NEUROG2","newoligoBYo"
"67","NFASC","newoligoBYo"
"68","NIPAL4","newoligoBYo"
"69","NKX2-2","newoligoBYo"
"70","PARVB","newoligoBYo"
"71","PCDH17","newoligoBYo"
"72","PHLDB1","newoligoBYo"
"73","PIK3R3","newoligoBYo"
"74","PLEKHG3","newoligoBYo"
"75","PLP1","newoligoBYo"
"76","PLXNB3","newoligoBYo"
"77","PPP1R16B","newoligoBYo"
"78","PRICKLE1","newoligoBYo"
"79","PRIMA1","newoligoBYo"
"80","PTGDS","newoligoBYo"
"81","PTPRO","newoligoBYo"
"82","PYCR1","newoligoBYo"
"83","RAB33A","newoligoBYo"
"84","RAP2A","newoligoBYo"
"85","RGS16","newoligoBYo"
"86","RND2","newoligoBYo"
"87","RNF122","newoligoBYo"
"88","RRAS2","newoligoBYo"
"89","SECISBP2L","newoligoBYo"
"90","SEMA3D","newoligoBYo"
"91","SEMA4D","newoligoBYo"
"92","SEMA4F","newoligoBYo"
"93","SEMA5A","newoligoBYo"
"94","SGK2","newoligoBYo"
"95","SIRT2","newoligoBYo"
"96","SLC12A2","newoligoBYo"
"97","SLC22A5","newoligoBYo"
"98","SLC44A1","newoligoBYo"
"99","SNX30","newoligoBYo"
"100","SRPK3","newoligoBYo"
"101","SSH3","newoligoBYo"
"102","STRN","newoligoBYo"
"103","SUSD4","newoligoBYo"
"104","SYDE2","newoligoBYo"
"105","SYTL2","newoligoBYo"
"106","TMEM163","newoligoBYo"
"107","TNR","newoligoBYo"
"108","TNS3","newoligoBYo"
"109","TPPP","newoligoBYo"
"110","TSPAN15","newoligoBYo"
"111","TSPAN2","newoligoBYo"
"112","TUBB4A","newoligoBYo"
"113","TUNAR","newoligoBYo"
"114","TYRO3","newoligoBYo"
"115","UGT8","newoligoBYo"
"116","UST","newoligoBYo"
"117","ZNF365","newoligoBYo"
"118","ZNF488","newoligoBYo"
