"","newoligoBYo","AveExpr","F","P.Value","adj.P.Val"
"Mical3",2.8571678003603,1.2015862101728,48.7006213224953,1.13708533518355e-07,0.000124481925084052
"2010203P06Rik",1.95619407122112,0.2119067001965,48.4986416638954,1.18163017075672e-07,0.000124481925084052
"Kif19a",5.18835134463893,1.62108871911244,48.1549396581793,1.2617780399629e-07,0.000126883252627724
"Fam163a",2.01143046575911,0.462134393905944,45.8610548028241,1.97068029495082e-07,0.000187581168169015
"Ust",3.04803297229451,0.977739230476516,45.6986460536116,2.03496272479156e-07,0.000187581168169015
"Brca1",2.51858241487794,1.01741592984446,43.4028746493127,3.22870097347661e-07,0.000284771124231448
"n-R5s172",4.57952584540394,0.575155403287687,43.2273370293426,3.34676546129262e-07,0.000284771124231448
"Ubl3",2.02025256727922,5.49581417946063,42.1222508923968,4.20462131792974e-07,0.000344514212653925
"Pycr1",4.07136813080143,2.10367441374632,39.7841425461801,6.89862065834995e-07,0.000534689528144524
"Gm24480",3.09244333010718,0.415080395478845,39.6794487121657,7.05614238473681e-07,0.000534689528144524
"Rap2a",3.28508568149376,3.89414672276845,39.5535498049813,7.25068292923009e-07,0.000534689528144524
"Gm26834",1.58563611423798,0.313255934392408,38.2106066729699,9.72278153869103e-07,0.000693861599936973
"Asb18",1.00095855706126,0.20850666026737,37.0099977425695,1.27045178017866e-06,0.000878318897902894
"Col20a1",3.07377426090183,1.19878754622099,36.3011404290497,1.49135893979778e-06,0.000999797994701403
"Gm39164",1.20049551177752,0.150395817766335,35.8010524293002,1.67176870807784e-06,0.00108778056261195
"Bmp4",5.30126692891042,1.29991101967272,35.6442393332902,1.73304421958487e-06,0.00109543249342503
"Olfr279",1.64085744209706,0.300464935732365,35.2848673033207,1.88272496430621e-06,0.00114746770492785
"9630041A04Rik",1.26971359488835,0.278182396077446,35.2021436280962,1.9191025214632e-06,0.00114746770492785
"Utf1",1.78541722438822,0.303523640625248,34.9893645131142,2.01617242745552e-06,0.00117378375296312
"Fyn",3.37285724399319,2.1288063364629,34.5860141209186,2.2149046280429e-06,0.00125641884836392
"Gipc1",2.51396549480802,4.24840044190098,33.8846481066212,2.61213923533737e-06,0.00144470890758422
"Dnaic2",2.18650026707777,0.547953279657044,33.5201666170752,2.84811222539948e-06,0.0015053258624704
"AC122356.1",3.87133527527298,0.732200133174936,33.440218032502,2.90286375390984e-06,0.0015053258624704
"Rapgef1",1.88881999197335,3.12806505113038,33.4071051587147,2.92586955142734e-06,0.0015053258624704
"Gm13052",1.28467750381365,0.28684361348468,32.7292971158221,3.44233243309676e-06,0.00173078910039545
"Gm47135",4.86859799463327,1.22323790731318,31.7845441047582,4.33134096379026e-06,0.00212404107011184
"Mx2",1.98661666337223,1.66631765544517,31.6980462469361,4.42423396870471e-06,0.00212404107011184
"Prickle1",3.17495721622671,1.48896710801488,31.6176438696956,4.51249515414981e-06,0.00212404107011184
"Gm32568",1.13282651819879,0.160586614844824,30.754460430625,5.58825476251973e-06,0.00252409275100243
"Dusp9",3.94619471044352,1.17686513831887,30.7527890107596,5.59058648461416e-06,0.00252409275100243
"Gm42966",1.82293389512297,0.396874964570004,30.4991835405151,5.95674344465407e-06,0.00263562070452164
"Fbxo32",2.70230962592752,2.15493460951406,30.3172777499634,6.23515541599982e-06,0.0026872327982255
"B3gnt6",2.62776294868914,0.991893226250827,30.2658767621755,6.31632714856601e-06,0.0026872327982255
"Ppp1r17",0.99318042692553,0.177738338102703,30.1182846450528,6.55575519628797e-06,0.00269141646902175
"Tmem2",2.81702167873318,2.03097629122835,30.0451537584216,6.67797395434393e-06,0.00269141646902175
"Neurog2",2.58196621726211,0.849298197721295,30.0373662702234,6.69113166370728e-06,0.00269141646902175
"Gm43520",2.51698372717618,0.336871568876134,29.7730054615331,7.15467576669502e-06,0.00282648021404632
"Rtkn2",2.09973149900136,0.592325668064395,29.3869944255979,7.89433694929333e-06,0.0030255432174984
"Gm2654",2.13082760167073,0.78434444050188,29.3237358026458,8.02316783812122e-06,0.0030255432174984
"Gm48022",1.06476303938582,0.1414680206676,29.3015683430943,8.06884463374794e-06,0.0030255432174984
"Gm47063",2.62778628326969,0.393263326931322,28.1193900656064,1.09584604343681e-05,0.00404056700315875
"Ablim2",3.18931158778983,0.841573018757483,27.7415302301315,1.21019581939661e-05,0.00438904296926412
"Trpm5",1.09991981479336,0.371206146940273,27.6126303992333,1.25207442272263e-05,0.0044082888288562
"Adamts4",5.8979334157833,2.03193026024015,27.5849441769094,1.26127036932493e-05,0.0044082888288562
"1810041L15Rik",4.63157453445261,1.40040532011885,27.5431743476454,1.2752813137766e-05,0.0044082888288562
"Samd4b",1.81707260524936,1.84980449156417,27.0595357371422,1.45021929970327e-05,0.00492068707827253
"Chrne",2.61493272993599,0.608472921183826,27.01391948262,1.46799867633678e-05,0.00492068707827253
"S100a14",2.15898607806538,0.69204527932689,26.8004256639862,1.55436968188602e-05,0.00506915544792473
"Slc1a1",2.24082294279151,0.824736540186356,26.7914488544398,1.55811856646423e-05,0.00506915544792473
"Slc12a2",3.09208494024066,3.21391206853482,25.1557712670229,2.43378615917176e-05,0.00779811910691757
"Rhbdl2",1.95564488921659,0.608868994361973,25.1062447664831,2.46742456938132e-05,0.00779811910691757
"Rac1",1.32350672109375,6.11295470828496,24.5891605441602,2.84994130685859e-05,0.00884688056499747
"Col2a1",2.44799520605,0.546420438389713,24.5526600524996,2.87924513257613e-05,0.00884688056499747
"Sema5a",3.01107779842086,0.827754991899579,24.4333721335742,2.97728670921704e-05,0.00900868737299438
"En2",2.44889990115906,0.546082005463001,24.3905520111421,3.01334749175783e-05,0.00900868737299438
"Il23a",5.52515406827619,1.97992290687575,24.2234636616874,3.15860024900449e-05,0.00928160367208101
"Etnk2",2.78501631189311,0.927044898736402,24.19004130178,3.18854531066382e-05,0.00928160367208101
"St18",1.46209781174297,0.33281943700894,24.1087944055277,3.26261507925788e-05,0.00937387446732754
"2610035D17Rik",1.81593648661664,0.950321360506225,23.9928666144112,3.37151146375979e-05,0.00956255745035356
"Tnr",4.2496114359732,0.961407486789518,23.8089750811026,3.55231657183361e-05,0.00983990736669586
"Kndc1",5.70539326065331,1.44834471398692,23.8031072965585,3.55825425726922e-05,0.00983990736669586
"Sgk2",3.2235486709322,0.624235609657133,23.7118429343377,3.65198777771785e-05,0.0099397482517797
"Slc22a21",2.50820418587142,1.68519607857453,23.6561929081711,3.71043933664989e-05,0.0099397482517797
"Gm10698",0.964901447939939,4.334150692245,23.6385804881352,3.72914661166078e-05,0.0099397482517797
"Tmprss3",1.64226658881409,0.317846689868402,23.3962181688582,3.99709985168076e-05,0.010527123811754
"Nfasc",6.01288745963762,1.96815151533448,23.2159670219037,4.20973781448021e-05,0.0109567093729113
"Strn",2.62244288129566,2.48705538848584,23.0284171715325,4.44391381974891e-05,0.0114317099342215
"Pik3r3",2.79467035570553,1.360693012818,22.961014410036,4.53145139167963e-05,0.0115229079469113
"Fbn2",1.62119611984674,0.429714282169474,22.7513374594358,4.81578562368349e-05,0.0120586307540204
"Prima1",2.80247117219396,0.601013973112796,22.7261960478899,4.85114196586276e-05,0.0120586307540204
"Ppfibp2",1.70765954416767,1.09876942532043,22.6791599130056,4.9180381523091e-05,0.0120890842270594
"Cdk19",1.24439211871577,2.37043908864215,22.308503054592,5.48111143639112e-05,0.0133210546657161
"Cdv3",2.51226666524834,5.35237583041574,22.2723315637721,5.53965117409883e-05,0.0133210546657161
"Fnta",2.25420275741471,5.2717911937744,22.227170285031,5.61368226099594e-05,0.0133539239419369
"Ddc",2.48589758185815,0.725726866582621,22.1101250999836,5.8105303403138e-05,0.0136294435311865
"Gm16401",1.91876039646867,0.382564872584529,22.0545420143096,5.90659020728474e-05,0.0136294435311865
"Slc44a1",3.84257814763156,2.64783174689966,22.0501074643498,5.91432707586631e-05,0.0136294435311865
"Rnf122",2.841445768468,3.06624981558306,21.9453155249824,6.10035312262674e-05,0.0139132074362754
"Tunar",1.90094164750308,0.447747889520385,21.8020143120078,6.36496103694701e-05,0.0143647586593486
"Gm37120",1.41420737895466,0.37713643189638,21.7687107598561,6.42820190424222e-05,0.0143647586593486
"Cpm",3.48047830632336,1.16255456138722,21.6492403571454,6.66066775627119e-05,0.0147353952771987
"Nkx2-2",3.08264327434578,0.868101063952835,21.5855275526063,6.78831086948476e-05,0.0148690892441199
"Gm2721",1.08580846951398,0.204363136126182,21.5097179601607,6.94361461112837e-05,0.0150599716866423
"Zdhhc14",2.0989803985355,1.16020162364273,21.477100138384,7.01160368722215e-05,0.0150599716866423
"Eml1",2.74663260645674,0.94347447606146,21.3367777404755,7.31234006520858e-05,0.0155135754621659
"Cdk18",4.37115737645827,1.23708698841521,21.3137316384851,7.36304038117535e-05,0.0155135754621659
"Yipf1",0.940127161614487,3.40455088339782,21.1955303593767,7.6290690390268e-05,0.0159224428632443
"Dock6",2.51036834123902,1.88846044642812,20.9048793659655,8.32805005955774e-05,0.0172188272399622
"Snx30",2.45720776982812,2.2013315271891,20.7471972728627,8.73572607488418e-05,0.0178944877735799
"Gm10863",2.68578608456899,0.807323472160547,20.6404046399821,9.02395479414038e-05,0.0183153166890613
"Myrf",6.34544784064398,1.69210416472634,20.5928872730914,9.1554651880882e-05,0.0184133051232796
"Itpr2",2.37158869004638,1.82294670520882,20.3385906927323,9.89508929137883e-05,0.019721536972358
"2210011C24Rik",4.20516630701013,1.39943363432231,20.1934023970122,0.000103458987906525,0.020435921334429
"Gm5684",1.72287560432964,0.50472715030181,20.0451095194009,0.000108291679275972,0.0211104075429897
"Gm5540",-3.6929895826109,2.13141020656413,20.0304588958584,0.00010878210278447,0.0211104075429897
"Elovl7",3.28305144778717,1.24798146684618,19.940824425211,0.000111834923359229,0.0214905552260766
"E2f8",3.35977156260673,1.73474295623542,19.9163653083418,0.000112683831588161,0.0214905552260766
"Syde2",2.42428502921329,0.923841509161151,19.8288622185535,0.000115777864256989,0.0218919118885245
"Tjap1",2.33403169144978,3.26080287285042,19.736128676783,0.000119156547311821,0.022269799922048
"Tns3",3.0912529597827,2.22117242276492,19.7190663858447,0.00011978963932214,0.022269799922048
"Gm7931",1.40909318046748,0.240507023909268,19.6385852108298,0.000122824903093959,0.02246165979144
"Il12rb1",2.45467533221894,0.641230581942763,19.6378692287082,0.000122852272963171,0.02246165979144
"Gm9945",1.14226033003315,0.210038148663925,19.5262083000074,0.000127201868676761,0.0230662863994753
"Ick",2.8461199372856,2.14123343269948,19.4148382065265,0.000131705084899033,0.0236887121400106
"D630045J12Rik",2.53108560063055,1.08028600279404,19.3653313615762,0.000133761514418801,0.0238645643829607
"Fcnaos",1.01288713087846,0.292134160382977,19.2030014597084,0.000140749625034871,0.0247824986712606
"Kazn",2.97490997231553,1.48048349525364,19.1940322325067,0.00014114698877091,0.0247824986712606
"Map7",2.15245530628598,0.781074755556999,19.1220136519273,0.000144381595133255,0.0251508191270314
"Erp27",1.83425070517619,0.916518540731942,19.0738258292588,0.000146590227299633,0.0253360593636702
"Cpox",3.86990281315697,4.20779481466935,18.921212127601,0.000153827580229531,0.0263148164298924
"Hist1h2bp",2.60798062455156,0.88462329468253,18.9047246238667,0.00015463210847923,0.0263148164298924
"1700001P01Rik",1.9698042924201,1.00849242157784,18.8673389268975,0.000156473161698075,0.0263491651851521
"Rap1gds1",1.49108671500914,3.48970627351704,18.8523875497897,0.000157216010687524,0.0263491651851521
"Nol4l",1.8747018179734,1.47682928127038,18.7563093074363,0.000162080793649668,0.0269602511121174
"Susd4",2.86086429255452,1.04681973605351,18.7196839872263,0.000163977567707133,0.0270722069431709
"Gm34144",2.8451034594861,0.766573199226083,18.6129156888284,0.000169644138640872,0.0278002761418668
"Tmem125",7.15742900508235,1.41424154082394,18.5640296947815,0.000172308491739212,0.0279840033359821
"Gm42492",1.52460512129575,0.282208154414404,18.5461319089426,0.000173295143381528,0.0279840033359821
"Bace2",2.47749858420597,0.596851946630404,18.4873354165584,0.000176579317129638,0.0283077118323115
"Alad",2.18745155845924,4.00423422664406,18.4157914385832,0.000180665856592827,0.0284938474009084
"Arhgef10",3.20948202976763,1.50812928844373,18.4137332073892,0.000180784912669966,0.0284938474009084
"Sirt2",4.2730649175372,5.49363990768509,18.3996066095025,0.000181604325070202,0.0284938474009084
"Sytl2",2.57314065482978,0.768028166385697,18.2899943024556,0.000188099451827568,0.029305099808319
"Sema3d",2.58708510081157,0.599232134410942,18.18600969698,0.000194491946728676,0.0299959547172624
"Rras2",2.95904024915982,2.44766053330565,18.1739932133536,0.00019524555798426,0.0299959547172624
"E130308A19Rik",1.95794400078334,1.30364363577021,17.8640068758259,0.00021581062017604,0.0327311278039185
"Gjc2",6.39385999122188,1.57367869630939,17.8611877570074,0.000216007985326226,0.0327311278039185
"Plxnb3",6.5360034798019,2.81639883783172,17.5254311959638,0.000240958830281131,0.0362634843694521
"Gm26840",1.55902903029457,0.666519769754167,17.4858099373896,0.00024410131977007,0.0364881993059004
"Atp7b",1.69530529396479,0.557780320597082,17.3697190682888,0.000253564833574553,0.0376484215648983
"Ptpro",2.63152190260915,2.63134515247521,17.2817472272417,0.000260998241368459,0.0384937606252961
"Barx2",1.88364305211315,0.502632175545343,17.2241453373136,0.000265991976891327,0.0388669683070917
"Gjb4",1.14552827551019,0.175783989109712,17.1855023722172,0.000269399516807691,0.0388669683070917
"Nipal4",4.47985650290245,1.22654108853834,17.1774337924772,0.000270116901461693,0.0388669683070917
"Ppp1r16b",3.85807594271112,1.74916850013652,17.1552275831791,0.000272101885312819,0.0388669683070917
"5730559C18Rik",3.77703723763537,0.890392654560017,17.1528762670861,0.000272312981403933,0.0388669683070917
"Inppl1",2.75694126886297,4.03005288581435,17.1209816376041,0.000275193845263936,0.0390263681972696
"Cldn11",8.24987612948453,2.23013760742021,17.0981843665798,0.000277273039168997,0.0390707735384441
"Gm4768",4.27544968518878,3.63460641459002,16.9782362197208,0.000288494159540723,0.0403946600729076
"Lims2",4.60916350323547,1.87238740859411,16.9368153379353,0.000292481524247614,0.040483419136988
"Ssh3",3.92585825012768,3.49658634915772,16.9336576492892,0.000292787915830497,0.040483419136988
"March8",3.20148786610886,3.35317179712588,16.8609420067792,0.000299939731597147,0.0412146998889669
"Mir219a-2",5.34177947659743,1.2914937395419,16.8047537619412,0.000305594447083883,0.0417325058817083
"Mroh3",1.57103022241612,0.411641957593408,16.6678560719759,0.000319856508352099,0.0432956997326486
"Acsl1",2.47961271249256,2.85195794070176,16.6457001780305,0.000322231155004347,0.0432956997326486
"Reep5",2.30144927541611,5.93612275236157,16.639376627109,0.000322912374266014,0.0432956997326486
"Znrf1",1.23035839079474,2.8737955995181,16.581369023688,0.000329234026753178,0.0438773757461479
"Sptlc2",1.17402627716321,3.00186652749575,16.5493981316546,0.000332774904146528,0.0440837078109799
"Matn2",0.950268115440563,0.40245954300835,16.4187068676084,0.000347680425287269,0.0457841312418467
"Man1c1",1.7875608716476,2.48869881661781,16.3809196472747,0.000352122565182472,0.0459012896829507
"Bag3",-2.2807137423208,3.71002556703324,16.3758786587787,0.000352719759802089,0.0459012896829507
"Mir344f",3.12643806770784,0.772657521605254,16.2937773868296,0.000362600784503797,0.0469112114361257
"Ncmap",1.19539675154175,0.503215168587845,16.2699072578403,0.00036552906878221,0.0470151138876094
"Tcf7l2",1.38277142649593,1.25421406452422,16.2058049395918,0.000373519279638807,0.0477651273031754
"Tspan15",3.63158483361798,1.56623719959247,16.1816133046607,0.000376583294577656,0.0478801852065602
"Chst8",1.88729798520116,0.846646985215931,16.1475760209254,0.000380940116659963,0.0481573611478192
"Tnni1",1.7687421767561,0.416773912223117,16.0926961686769,0.000388079240261763,0.048781119501767
"Zfp488",4.59113899601784,1.85843403583064,16.0485066405799,0.000393932138344737,0.0492370660824894
